fare_id,price,currency_type,payment_method,transfers,transfer_duration
F_210,210,JPY,1,0,
FA_190,190,JPY,0,0,
FA_200,200,JPY,0,0,
FA_210,210,JPY,0,0,
FA_220,220,JPY,0,0,
FA_230,230,JPY,0,0,
FA_240,240,JPY,0,0,
FA_250,250,JPY,0,0,
FA_260,260,JPY,0,0,
FA_270,270,JPY,0,0,
FA_280,280,JPY,0,0,
