route_id,route_update_date,origin_stop,via_stop,destination_stop
25000-1,20160401,川崎駅西口,尻手駅前・末吉橋・小倉・矢向駅前,川崎駅西口
21000-1,20160401,川崎駅西口,尻手駅前・末吉橋・小倉・矢向駅前,川崎駅西口
